mah_id,mahalle_adi,ilce_adi,toplam_nufus,toplam_bina,vs30_mean,rjb_distance_km,pga_scenario_mw72,pga_scenario_mw75,earthquake_min_distance_km,earthquake_count_10km,max_magnitude_nearby_20km,strong_earthquakes_20km,insan_etkisi,bina_etkisi,zemin_etkisi,altyapi_etkisi,barinma_etkisi,risk_score,risk_class_5,ml_predicted_class,ml_confidence,ml_risk_score,ml_proba_class_1,ml_proba_class_2,ml_proba_class_3,ml_proba_class_4,ml_proba_class_5,ml_ensemble_score
100016,Peçenek Mahallesi,Bilinmeyen İlçe,23937,2125,435.2945867812954,46.626850545273896,0.0026135873927312,0.0033815906966299,4.029272904341793,15,4.494397570002052,0,0.0566367403704125,0.0566367403704125,0.2168374555688086,0.2048119227524489,0.0566367403704125,0.2048119227524489,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100017,Tatlar Mahallesi,Bilinmeyen İlçe,100,10,549.1642038281605,40.53071262042857,0.0032747881725313,0.0028645640965619,9.778071914784924,33,4.209030647285511,1,0.1914382988802437,0.1914382988802437,0.3338415795195961,0.1622858151514576,0.1914382988802437,0.1622858151514576,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100018,Hacettepe Mahallesi,Bilinmeyen İlçe,5547,128,407.57770373582986,55.35239694849878,0.0028328764544248,0.0033410765467447,5.635534064874237,0,4.08361450702627,0,0.2133203427686437,0.2133203427686437,0.4197724957610106,0.2619479156330688,0.2133203427686437,0.2619479156330688,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100019,Hacı Bayram Mahallesi,Bilinmeyen İlçe,100,10,531.3478667336486,32.44446902961057,0.0032219097140731,0.0038873170267146,3.1461390568438343,14,3.0,0,0.0987806179332854,0.0987806179332854,0.090403074275388,0.1219884295043936,0.0987806179332854,0.1219884295043936,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100020,Kale Mahallesi,Bilinmeyen İlçe,31684,2904,446.6385758895991,34.78465201847853,0.0030292544511534,0.0046739984642251,5.80995101754105,24,3.7392627422505353,0,0.153044830355858,0.153044830355858,0.2590813876200998,0.2397278404712628,0.153044830355858,0.2397278404712628,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100021,Zübeyde Hanım Mahallesi,Bilinmeyen İlçe,32248,2439,583.9296588735209,20.41095611083274,0.0029241074524822,0.0037941586032422,5.561983735470065,8,3.737563324892817,1,0.1253499532670583,0.1253499532670583,0.2028508194444631,0.2509761258212615,0.1253499532670583,0.2509761258212615,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100022,Boyalık Mahallesi,Bilinmeyen İlçe,16087,1202,509.0486063300043,42.25920903977831,0.0034064310594194,0.0038148144209618,3.3420099781558554,9,4.024188081536979,1,0.1805185132716732,0.1805185132716732,0.3522131916630739,0.1645057166698502,0.1805185132716732,0.1645057166698502,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100023,Dikilitaş Mahallesi,Bilinmeyen İlçe,18586,1508,441.2191017723982,49.91278696398129,0.003412708174494,0.0039067548180003,7.610957614308658,15,4.004585891388489,0,0.1344866621703272,0.1344866621703272,0.2283167630169166,0.1632143190254973,0.1344866621703272,0.1632143190254973,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100024,İkizce Mahallesi,Bilinmeyen İlçe,36539,3257,345.64035694242045,34.96733030971408,0.0036024614608892,0.0029016697653932,6.541356659046222,21,3.590256026572425,0,0.1495591476877096,0.1495591476877096,0.32800957867342,0.1911765571098717,0.1495591476877096,0.1911765571098717,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100025,Beştepe Mahallesi,Bilinmeyen İlçe,537,10,479.5032407801544,33.83641490565336,0.0025888898022167,0.0036218436057459,5.4899331422174455,9,3.658688508314503,0,0.1616024968678818,0.1616024968678818,0.3423483470727139,0.1713570961654807,0.1616024968678818,0.1713570961654807,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100026,Ata Mahallesi,Bilinmeyen İlçe,2658,493,330.76467306504594,54.46982227362446,0.0028488378789618,0.0034977185855048,3.635314797759692,14,4.181341467794274,0,0.1885431550732019,0.1885431550732019,0.2412991881234513,0.2241027033259365,0.1885431550732019,0.2241027033259365,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100027,Aşağıemirler Mahallesi,Bilinmeyen İlçe,20468,1625,468.03893319621216,39.409394117981165,0.0030488380492744,0.0031134951080722,5.049020348517885,19,4.235343082338512,0,0.1979635413042603,0.1979635413042603,0.3460329238730719,0.3089652674146289,0.1979635413042603,0.3089652674146289,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100028,Cumhuriyet Mahallesi,Bilinmeyen İlçe,9933,1023,366.23273313210507,46.86895992776321,0.0029211380208729,0.002822471022241,7.065200808035954,0,3.2261880448807343,1,0.1681238229402651,0.1681238229402651,0.3093570413223572,0.2885995175257777,0.1681238229402651,0.2885995175257777,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100029,Selametli Şehit Emrah Mahallesi,Bilinmeyen İlçe,20600,1690,449.9655155790514,36.55854963549295,0.0031477387622115,0.0029513270657166,5.681844397117907,14,3.8826905473662223,0,0.163936151748533,0.163936151748533,0.1224457872964506,0.1640374986227736,0.163936151748533,0.1640374986227736,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100030,Bezirhane Mahallesi,Bilinmeyen İlçe,11461,964,427.1111838244682,45.31057838199052,0.0024661897853087,0.0034288102574893,5.240591263423798,20,4.013484463426667,1,0.0937678954081065,0.0937678954081065,0.2765851209583673,0.1550908078066067,0.0937678954081065,0.1550908078066067,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100031,Gümüşdere Mahallesi,Bilinmeyen İlçe,31790,2672,526.0288722924901,39.94052877166732,0.0040303739624409,0.0043776704212216,4.502071703041853,24,3.993612784875544,1,0.2184315778766174,0.2184315778766174,0.334673958947967,0.0944756308146131,0.2184315778766174,0.0944756308146131,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100032,Kavacık Subayevleri Mahallesi,Bilinmeyen İlçe,100,10,438.0788678550675,46.22625220845339,0.003751178526048,0.0035370473902098,8.257231091142584,1,3.288985268193453,0,0.147222615055169,0.147222615055169,0.2495040688260902,0.2241871596251346,0.147222615055169,0.2241871596251346,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100033,Hasköy Mahallesi,Bilinmeyen İlçe,26155,1891,446.9725287848735,38.55944013466501,0.0024493740475764,0.0037438366374616,6.494736063223603,12,4.416527782586441,0,0.134031999623317,0.134031999623317,0.2075793905302047,0.1524276300642593,0.134031999623317,0.1524276300642593,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100034,Şefkat Mahallesi,Bilinmeyen İlçe,9985,625,420.822667652814,27.704158413699588,0.0039823625664581,0.0035176317759858,3.6005489840148286,17,3.766301585092751,1,0.1389515200233388,0.1389515200233388,0.2075599081911578,0.1654509055613192,0.1389515200233388,0.1654509055613192,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100035,Kalaba Mahallesi,Bilinmeyen İlçe,7775,187,362.44800954361807,52.50528630644629,0.0038224838567506,0.0033754819802218,6.153113926111533,18,4.723664242536572,0,0.2059787455717288,0.2059787455717288,0.3719029928155046,0.0525951765881912,0.2059787455717288,0.0525951765881912,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100036,Güçlükaya Mahallesi,Bilinmeyen İlçe,734,10,443.08750028350295,38.82548841845571,0.0024693686835267,0.0031728133269434,3.453550059094354,11,3.865466819759329,1,0.195528206118554,0.195528206118554,0.1800820704411923,0.1998022447803588,0.195528206118554,0.1998022447803588,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100037,Bağlarbaşı Mahallesi,Bilinmeyen İlçe,42615,3754,427.69162143998926,54.58591923069257,0.0028059654051012,0.0031657990158483,7.791463871857128,1,3.225866725919493,1,0.1970642289030237,0.1970642289030237,0.2210861728458418,0.1856903979569565,0.1970642289030237,0.1856903979569565,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100038,Yakacık Mahallesi,Bilinmeyen İlçe,5368,322,431.2488505839436,35.28955635811713,0.0025857081144906,0.003227415400334,0.1,21,3.917075980694943,2,0.1457545583752083,0.1457545583752083,0.2900733750099504,0.1413466853120869,0.1457545583752083,0.1413466853120869,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100039,Tepebaşı Mahallesi,Bilinmeyen İlçe,12698,1208,353.08575123184744,44.54191338666751,0.002668688120527,0.0037852993342965,3.4734816869149663,0,3.311737268635051,0,0.1524042473330691,0.1524042473330691,0.1280567573464006,0.2478641788747181,0.1524042473330691,0.2478641788747181,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100040,Çiçekli Mahallesi,Bilinmeyen İlçe,100,61,623.4359633023566,23.70921749343983,0.0029257242974964,0.0032962699311823,3.796062642207231,22,4.1318987314485325,0,0.1885819074650668,0.1885819074650668,0.0522684399898168,0.1521862846717714,0.1885819074650668,0.1521862846717714,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100041,Karargahtepe Mahallesi,Bilinmeyen İlçe,18981,1541,476.9664617148636,33.4470949759344,0.0030432948937364,0.0034221613823039,7.335564123319615,17,3.90128079862256,0,0.1294061516938766,0.1294061516938766,0.2245217191479728,0.1808565787360194,0.1294061516938766,0.1808565787360194,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100042,Basınevleri Mahallesi,Bilinmeyen İlçe,18539,1751,320.38150072226426,42.776349507889485,0.0028648983406612,0.0039738084688307,4.4997547978509775,28,3.5970760938547883,0,0.0384835046187055,0.0384835046187055,0.2514734703351641,0.3005862387365169,0.0384835046187055,0.3005862387365169,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100043,Emrah Mahallesi,Bilinmeyen İlçe,15691,1263,504.7871502893807,17.905969269156426,0.0031178072790542,0.0038854325969434,2.042827508440317,26,3.901548922248324,1,0.1292356043049599,0.1292356043049599,0.2645493004046796,0.2148932351780201,0.1292356043049599,0.2148932351780201,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100044,Aşağı Eğlence Mahallesi,Bilinmeyen İlçe,5352,276,504.843624353828,31.00930364091012,0.0030357831186096,0.0032611712766174,5.957959651492784,18,4.11126198327737,0,0.1244991800572626,0.1244991800572626,0.3529579971079675,0.1733217465052616,0.1244991800572626,0.1733217465052616,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100045,İncirli Mahallesi,Bilinmeyen İlçe,5772,370,512.9492145284866,48.70191656752128,0.0036929516606455,0.0040043014749244,1.7355638411429624,17,3.4824843791458844,1,0.1243542812514292,0.1243542812514292,0.1787325326039137,0.0605168203128559,0.1243542812514292,0.0605168203128559,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100046,19 Mayıs Mahallesi,Bilinmeyen İlçe,13766,1675,442.11972526277583,39.741297517204,0.003891081809268,0.0037951373095308,5.4337220739658765,19,3.875073179772096,1,0.0930122785921646,0.0930122785921646,0.2647106681524126,0.2060057265547819,0.0930122785921646,0.2060057265547819,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100047,Kuşcağız Mahallesi,Bilinmeyen İlçe,10206,1006,608.5569108456681,44.35424281020533,0.0027059565868427,0.0034332995710542,7.14199293441051,9,4.0556739467090805,1,0.0339631313010934,0.0339631313010934,0.3516100437260572,0.1508915469774565,0.0339631313010934,0.1508915469774565,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100048,Pınarbaşı Mahallesi,Bilinmeyen İlçe,100,10,386.1108512839917,37.8464426418114,0.0029966732726843,0.002840427477399,6.60887822022173,13,4.124137960701605,1,0.0577547379851953,0.0577547379851953,0.1686246263563687,0.2310001585188874,0.0577547379851953,0.2310001585188874,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100049,Şenlik Mahallesi,Bilinmeyen İlçe,884,40,454.47684796254737,40.81795949027957,0.0026612168936331,0.0035746432817362,3.43491258953104,21,3.765546794155093,0,0.1577518311797759,0.1577518311797759,0.2473797383827201,0.1673945137319741,0.1577518311797759,0.1673945137319741,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100050,Atapark Mahallesi,Bilinmeyen İlçe,2018,189,438.95488177167937,53.83122297683132,0.0016745150958034,0.0040457534259612,7.492170384995259,0,3.697193721775895,2,0.1314279567002104,0.1314279567002104,0.3166579102096593,0.1204076590334144,0.1314279567002104,0.1204076590334144,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100051,Ufuktepe Mahallesi,Bilinmeyen İlçe,6633,538,483.8976655445078,31.815942142465502,0.0029553894122031,0.0035149918172635,3.59105979308094,7,3.8296237332912,0,0.1434827427006396,0.1434827427006396,0.1522297752886443,0.2427799058103433,0.1434827427006396,0.2427799058103433,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100052,Osmangazi Mahallesi,Bilinmeyen İlçe,8232,611,497.5963838843079,43.58364753349056,0.0028195169170904,0.0040796649016821,2.8378733448002054,21,3.977930377390515,0,0.1345226780343004,0.1345226780343004,0.1164176662345279,0.3058812160557631,0.1345226780343004,0.3058812160557631,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100053,Kamil Ocak Mahallesi,Bilinmeyen İlçe,100,10,534.3138480482228,22.33509801036569,0.0033781757846436,0.0027934878273291,7.493389473059175,0,3.273959175124801,2,0.1227538882520545,0.1227538882520545,0.2469892238060121,0.2661981129209912,0.1227538882520545,0.2661981129209912,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100054,Çaldıran Mahallesi,Bilinmeyen İlçe,12894,1104,432.3597124672266,38.73696211227735,0.003153900884446,0.0026449158036716,2.303629155788574,22,3.8512596314383822,1,0.140800833182366,0.140800833182366,0.206819225575251,0.1533017164758612,0.140800833182366,0.1533017164758612,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100055,Yeşiltepe Mahallesi,Bilinmeyen İlçe,13967,968,479.2191996275397,22.82365919905285,0.0035145778186628,0.0037362987412065,5.512059468627752,24,4.299642333338773,0,0.2007185032509065,0.2007185032509065,0.2373518807943841,0.2483955948748212,0.2007185032509065,0.2483955948748212,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100056,Yeşilöz Mahallesi,Bilinmeyen İlçe,16437,895,433.3067266095869,41.20768312304406,0.0022828175164205,0.0037905110049329,1.95196951654594,7,4.20239357591004,0,0.1058111105567865,0.1058111105567865,0.1740480888934445,0.3579429238902434,0.1058111105567865,0.3579429238902434,4,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
100057,Aktepe Mahallesi,Bilinmeyen İlçe,17879,1526,402.32398788704216,46.05961530008886,0.0027121810868811,0.0035610049073226,10.12016907653759,14,4.144781997885703,0,0.1148411787437056,0.1148411787437056,0.2643876334982447,0.1799088636574332,0.1148411787437056,0.1799088636574332,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100058,Adnan Menderes Mahallesi,Bilinmeyen İlçe,37364,3104,359.85199782486666,35.4159419545912,0.003249868810056,0.0037662975546852,2.8244381294764764,24,3.271139921338688,0,0.2072067601308209,0.2072067601308209,0.2440453256719963,0.2372403258530407,0.2072067601308209,0.2372403258530407,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100059,Güzelyurt Mahallesi,Bilinmeyen İlçe,13729,877,477.51600217513993,45.19198381499624,0.0032798952239655,0.0040403903627773,6.667844309097808,19,3.778950286562406,0,0.0669519533242004,0.0669519533242004,0.3154787787710831,0.20803085925476,0.0669519533242004,0.20803085925476,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100060,Şenyuva Mahallesi,Bilinmeyen İlçe,17265,1396,522.9795741103619,38.51000599519783,0.0027672749087979,0.0039432587062845,2.18968015527108,20,3.4872545377318582,1,0.2138963414619082,0.2138963414619082,0.2830056317315298,0.0842189242211505,0.2138963414619082,0.0842189242211505,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100061,23 Nisan Mahallesi,Bilinmeyen İlçe,2837,445,507.1159304527936,42.024544340301134,0.0023252682142872,0.0037927517304292,6.426799180410892,15,4.166951285177437,0,0.1158284104934938,0.1158284104934938,0.43391184988954,0.1782296863736204,0.1158284104934938,0.1782296863736204,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100062,Köşk Mahallesi,Bilinmeyen İlçe,5534,751,550.3293396101957,34.23157446248415,0.002789906591452,0.0033591076955697,2.311098977931446,5,3.49875776997438,0,0.1116101217447935,0.1116101217447935,0.0953057359113951,0.1275562501012175,0.1116101217447935,0.1275562501012175,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100063,Uyanış Mahallesi,Bilinmeyen İlçe,100,144,444.3734517788644,31.30422850229657,0.004154861377703,0.0031680515432266,7.334205828767272,31,3.329011898702797,0,0.1536981482036784,0.1536981482036784,0.2001487578860188,0.1666713728503847,0.1536981482036784,0.1666713728503847,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100064,Bademlik Mahallesi,Bilinmeyen İlçe,3010,488,540.6724171930382,33.76851474050958,0.0025838222134478,0.0037357077781932,3.8955539114380575,21,3.8608769062553896,0,0.0742127942501384,0.0742127942501384,0.1827911937133329,0.2098818696462284,0.0742127942501384,0.2098818696462284,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100065,Kanuni Mahallesi,Bilinmeyen İlçe,6625,668,487.4299291301936,49.76612030929975,0.0025747217706689,0.003552367649319,1.5029060300849473,2,4.065230250967754,0,0.1024658104297336,0.1024658104297336,0.2085910960771063,0.2134272770983339,0.1024658104297336,0.2134272770983339,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100066,Karşıyaka Mahallesi,Bilinmeyen İlçe,11176,1169,607.8430482614599,34.154129970527244,0.0027552802787408,0.0040220804385345,6.363782979252623,33,3.975178455597789,1,0.132035395460647,0.132035395460647,0.3156385744957891,0.2304364418664378,0.132035395460647,0.2304364418664378,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100067,Karakaya Mahallesi,Bilinmeyen İlçe,25419,2352,538.3444982558188,45.5606438921226,0.0029164409598415,0.0035733568432166,7.413017933016714,6,3.9106019926618703,1,0.1303330593836319,0.1303330593836319,0.2652879254415922,0.2027861928893689,0.1303330593836319,0.2027861928893689,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100068,Kafkas Mahallesi,Bilinmeyen İlçe,100,157,493.6213857555581,60.20627739824596,0.0028461108825235,0.0036095751638319,5.498767367421511,30,3.771411340283914,1,0.1639510762885169,0.1639510762885169,0.2142853108359577,0.2116453995738984,0.1639510762885169,0.2116453995738984,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100069,Hisar Mahallesi,Bilinmeyen İlçe,25510,1920,462.5069189020774,32.51746440664544,0.0035975233144624,0.0027384065476081,3.882156305456824,18,4.269657208770302,1,0.1467124869463506,0.1467124869463506,0.1341588879667004,0.0680716426027951,0.1467124869463506,0.0680716426027951,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100070,Ovacık Mahallesi,Bilinmeyen İlçe,17178,1331,392.43593619432784,46.1374255316022,0.0031219003568855,0.0032179606846316,2.439391202658211,23,3.995060353387598,0,0.1450412068110308,0.1450412068110308,0.1518192175263314,0.2996082172068945,0.1450412068110308,0.2996082172068945,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100071,Yükseltepe Mahallesi,Bilinmeyen İlçe,23199,1891,411.2777706998225,32.817231524596856,0.0030371031069,0.0033852986986348,6.90100551056525,11,3.951650543183447,0,0.1485537557912565,0.1485537557912565,0.2774180277102163,0.227405193149227,0.1485537557912565,0.227405193149227,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100072,Esertepe Mahallesi,Bilinmeyen İlçe,18885,1663,493.4537414264488,52.14051748160917,0.0030982605848507,0.0038545018787942,4.820528611425546,29,3.597082309382219,0,0.2400470216455408,0.2400470216455408,0.1907334073625838,0.1991426581166019,0.2400470216455408,0.1991426581166019,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100073,Etlik Mahallesi,Bilinmeyen İlçe,100,121,415.9078909164784,48.91653995808433,0.0028615505801018,0.0034873054768077,4.653930242606164,8,4.541683838681798,0,0.1252066910996357,0.1252066910996357,0.3128640126920666,0.2255274537070979,0.1252066910996357,0.2255274537070979,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100074,Ayvalı Mahallesi,Bilinmeyen İlçe,100,10,454.2156968119853,28.086250697763067,0.0037516991508835,0.0039386811452878,4.558071652340672,15,3.8625148423842655,0,0.0479132565787854,0.0479132565787854,0.2284651094654888,0.1948316932709981,0.0479132565787854,0.1948316932709981,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
